new_variables_card_id,image_uri
94,https://img.scryfall.com/cards/large/en/lea/151.jpg?1525122938
95,https://img.scryfall.com/cards/large/en/lea/58.jpg?1525123301
96,https://img.scryfall.com/cards/large/en/lea/193.jpg?1525123306
97,https://img.scryfall.com/cards/large/en/lea/243.jpg?1525123310
98,https://img.scryfall.com/cards/large/en/lea/194.jpg?1525123316
99,https://img.scryfall.com/cards/large/en/lea/294.jpg?1525123083
100,https://img.scryfall.com/cards/large/en/lea/295.jpg?1525122942
101,https://img.scryfall.com/cards/large/en/lea/152.jpg?1525123321
102,https://img.scryfall.com/cards/large/en/lea/109.jpg?1525123793
103,https://img.scryfall.com/cards/large/en/lea/195.jpg?1525123847
104,https://img.scryfall.com/cards/large/en/lea/196.jpg?1525123326
105,https://img.scryfall.com/cards/large/en/lea/244.jpg?1525123863
106,https://img.scryfall.com/cards/large/en/lea/197.jpg?1525122946
107,https://img.scryfall.com/cards/large/en/lea/198.jpg?1525123331
108,https://img.scryfall.com/cards/large/en/lea/245.jpg?1525123339
109,https://img.scryfall.com/cards/large/en/lea/110.jpg?1525122950
110,https://img.scryfall.com/cards/large/en/lea/153.jpg?1525123343
111,https://img.scryfall.com/cards/large/en/lea/154.jpg?1525123348
112,https://img.scryfall.com/cards/large/en/lea/155.jpg?1525123359
113,https://img.scryfall.com/cards/large/en/lea/156.jpg?1525123820
114,https://img.scryfall.com/cards/large/en/lea/20.jpg?1525123364
115,https://img.scryfall.com/cards/large/en/lea/199.jpg?1525123368
116,https://img.scryfall.com/cards/large/en/lea/21.jpg?1525123373
117,https://img.scryfall.com/cards/large/en/lea/22.jpg?1525123377
118,https://img.scryfall.com/cards/large/en/lea/246.jpg?1525123381
119,https://img.scryfall.com/cards/large/en/lea/157.jpg?1525123385
120,https://img.scryfall.com/cards/large/en/lea/23.jpg?1525123390
121,https://img.scryfall.com/cards/large/en/lea/24.jpg?1525122954
122,https://img.scryfall.com/cards/large/en/lea/111.jpg?1525123395
123,https://img.scryfall.com/cards/large/en/lea/247.jpg?1525123400
124,https://img.scryfall.com/cards/large/en/lea/158.jpg?1525123826
125,https://img.scryfall.com/cards/large/en/lea/200.jpg?1525123404
126,https://img.scryfall.com/cards/large/en/lea/112.jpg?1525122864
127,https://img.scryfall.com/cards/large/en/lea/201.jpg?1525123408
128,https://img.scryfall.com/cards/large/en/lea/248.jpg?1525123413
129,https://img.scryfall.com/cards/large/en/lea/249.jpg?1525123424
130,https://img.scryfall.com/cards/large/en/lea/202.jpg?1525123428
131,https://img.scryfall.com/cards/large/en/lea/59.jpg?1525123434
132,https://img.scryfall.com/cards/large/en/lea/159.jpg?1525123438
133,https://img.scryfall.com/cards/large/en/lea/203.jpg?1525123853
134,https://img.scryfall.com/cards/large/en/lea/250.jpg?1525122958
135,https://img.scryfall.com/cards/large/en/lea/288.jpg?1525123442
136,https://img.scryfall.com/cards/large/en/lea/289.jpg?1525123449
137,https://img.scryfall.com/cards/large/en/lea/25.jpg?1525122962
138,https://img.scryfall.com/cards/large/en/lea/251.jpg?1525123454
139,https://img.scryfall.com/cards/large/en/lea/252.jpg?1525122967
140,https://img.scryfall.com/cards/large/en/lea/253.jpg?1525123871
141,https://img.scryfall.com/cards/large/en/lea/254.jpg?1525122972
142,https://img.scryfall.com/cards/large/en/lea/255.jpg?1525123461
143,https://img.scryfall.com/cards/large/en/lea/60.jpg?1525122977
144,https://img.scryfall.com/cards/large/en/lea/26.jpg?1525123469
145,https://img.scryfall.com/cards/large/en/lea/160.jpg?1525122981
146,https://img.scryfall.com/cards/large/en/lea/256.jpg?1525123474
147,https://img.scryfall.com/cards/large/en/lea/204.jpg?1525123481
148,https://img.scryfall.com/cards/large/en/lea/27.jpg?1525123486
149,https://img.scryfall.com/cards/large/en/lea/205.jpg?1525123490
150,https://img.scryfall.com/cards/large/en/lea/257.jpg?1525123494
151,https://img.scryfall.com/cards/large/en/lea/113.jpg?1525123498
152,https://img.scryfall.com/cards/large/en/lea/206.jpg?1525123503
153,https://img.scryfall.com/cards/large/en/lea/207.jpg?1525122985
154,https://img.scryfall.com/cards/large/en/lea/61.jpg?1525123508
155,https://img.scryfall.com/cards/large/en/lea/161.jpg?1525122870
156,https://img.scryfall.com/cards/large/en/lea/208.jpg?1525123513
157,https://img.scryfall.com/cards/large/en/lea/209.jpg?1525123517
158,https://img.scryfall.com/cards/large/en/lea/258.jpg?1525123524
159,https://img.scryfall.com/cards/large/en/lea/210.jpg?1525123021
160,https://img.scryfall.com/cards/large/en/lea/62.jpg?1525123529
161,https://img.scryfall.com/cards/large/en/lea/114.jpg?1525123534
162,https://img.scryfall.com/cards/large/en/lea/211.jpg?1525123540
163,https://img.scryfall.com/cards/large/en/lea/63.jpg?1525123544
164,https://img.scryfall.com/cards/large/en/lea/64.jpg?1525123766
165,https://img.scryfall.com/cards/large/en/lea/163.jpg?1525123832
166,https://img.scryfall.com/cards/large/en/lea/162.jpg?1525123549
167,https://img.scryfall.com/cards/large/en/lea/65.jpg?1525123553
168,https://img.scryfall.com/cards/large/en/lea/259.jpg?1525123558
169,https://img.scryfall.com/cards/large/en/lea/260.jpg?1525123562
170,https://img.scryfall.com/cards/large/en/lea/66.jpg?1525123566
171,https://img.scryfall.com/cards/large/en/lea/28.jpg?1525123576
172,https://img.scryfall.com/cards/large/en/lea/115.jpg?1525123580
173,https://img.scryfall.com/cards/large/en/lea/164.jpg?1525123585
174,https://img.scryfall.com/cards/large/en/lea/292.jpg?1525123589
175,https://img.scryfall.com/cards/large/en/lea/293.jpg?1525123238
176,https://img.scryfall.com/cards/large/en/lea/261.jpg?1525123879
177,https://img.scryfall.com/cards/large/en/lea/262.jpg?1525123593
178,https://img.scryfall.com/cards/large/en/lea/263.jpg?1525123598
179,https://img.scryfall.com/cards/large/en/lea/264.jpg?1525123603
180,https://img.scryfall.com/cards/large/en/lea/265.jpg?1525123607
181,https://img.scryfall.com/cards/large/en/lea/212.jpg?1525123619
182,https://img.scryfall.com/cards/large/en/lea/116.jpg?1525123624
183,https://img.scryfall.com/cards/large/en/lea/117.jpg?1525123628
184,https://img.scryfall.com/cards/large/en/lea/266.jpg?1525123634
185,https://img.scryfall.com/cards/large/en/lea/118.jpg?1525123797
186,https://img.scryfall.com/cards/large/en/lea/29.jpg?1525123750
187,https://img.scryfall.com/cards/large/en/lea/267.jpg?1525123639
188,https://img.scryfall.com/cards/large/en/lea/165.jpg?1525123644
189,https://img.scryfall.com/cards/large/en/lea/166.jpg?1525123648
190,https://img.scryfall.com/cards/large/en/lea/119.jpg?1525123653
191,https://img.scryfall.com/cards/large/en/lea/30.jpg?1525123658
192,https://img.scryfall.com/cards/large/en/lea/31.jpg?1525123665
193,https://img.scryfall.com/cards/large/en/lea/120.jpg?1525123673
194,https://img.scryfall.com/cards/large/en/lea/67.jpg?1525123679
195,https://img.scryfall.com/cards/large/en/lea/68.jpg?1525123684
196,https://img.scryfall.com/cards/large/en/lea/69.jpg?1525123689
197,https://img.scryfall.com/cards/large/en/lea/70.jpg?1525123694
198,https://img.scryfall.com/cards/large/en/lea/121.jpg?1525123698
199,https://img.scryfall.com/cards/large/en/lea/286.jpg?1525123704
